section_id,section_title,section_viet,section_num,section_note,item_code,item_viet,item_eng,price,size_S,size_M,size_L,size_XL
,,,,,462,Cơm Tấm Sườn Nướng Bì,"Grilled pork chop & shredded pork skin, steamed rice",16.99,,,,
,,,,,463,Cơm Tấm Sườn Nướng Chả,"Grilled pork chop, steamed egg with ground pork, steamed rice",16.99,,,,
,,,,,464,"Cơm Tấm Sườn Nướng, Trứng Ổp La","Grilled pork chop with fried egg, steamed rice",16.99,,,,
,,,,,465,"Cơm Tấm Gà Nướng, Bì, Chả","Grilled chicken with lemongrass, shredded pork skin, steamed egg with ground pork, steamed rice",16.99,,,,
,,,,,466,"Cơm Tấm Gà Nướng, Bì, Trứng Ổp La","Grilled chicken with lemongrass, shredded pork skin & fried egg, steamed rice",16.99,,,,
,,,,,467,"Cơm Tấm Gà Nướng, Chả, Ổp La","Grilled chicken with lemongrass, fried egg, steamed egg with ground pork, steamed rice",16.99,,,,
,,,,,468,"Cơm Tấm Gà Nướng, Sườn Nướng, Ổp La","Grilled chicken with lemongrass, pork chop & fried egg, steamed rice",17.25,,,,
,,,,,469,Cơm Tấm Đặc Biệt,"Grilled chicken with lemongrass, pork chop, shredded pork skin, steamed egg with ground pork, fried egg, steamed rice",18.50,,,,
,,,,,470,"Cơm Tấm Gà Nướng, Bì","Grilled chicken with lemongrass, shredded pork skin, steamed rice",16.99,,,,
,,,,,471,Cơm Tấm Gà Nướng Chả,"Grilled chicken with lemongrass, steamed egg with ground pork, steamed rice",16.99,,,,
,,,,,472,"Cơm Tấm Gà Nướng, Trứng Ổp La","Grilled chicken with lemongrass, fried egg, steamed rice",16.99,,,,
,,,,,473,Cơm Tấm Gà Nướng,"Grilled chicken with lemongrass, steamed rice",17.25,,,,
,,,,,474a,Cơm Tôm Rim Gà Nướng,"Marinated shrimp with sauce, grilled chicken with lemongrass, steamed rice",18.50,,,,
,,,,,474b,Cơm Tôm Rim Sườn Nướng,"Marinated shrimp, grilled pork chop, steamed rice",18.50,,,,
,,,,,475,"Cơm Tàu Hủ Ky Tôm, Gà Nướng","Bean curd wrapped shrimp paste, grilled chicken, steamed rice",18.50,,,,
,,,,,476,"Cơm Tàu Hủ Ky Tôm, Sườn Nướng","Bean curd wrapped shrimp paste, grilled pork chop, steamed rice",18.50,,,,
,,,,,476a,Cơm Sườn Bò Non Nướng,Grilled beef short rib with steamed rice,18.75,,,,
chay,Vegetarian,Thức Ăn Chay,09,,501,Chả Giò Chay,Vegetarian deep fried spring rolls (12 min),,8.25,,14.50,
,,,,,502,Bún Chả Giò Chay,Vermicelli with vegetable spring rolls (12 min),16.75,,,,
,,,,,503,Bún Đậu Hũ Chiên,Vermicelli with deep fried tofu,16.75,,,,
,,,,,505,Gỏi Cuốn Chay,"Vegetarian fresh rolls with tofu, vermicelli & peanut sauce",,8.25,,14.50,
,,,,,506,Phở Rau Cải Đậu Hũ,Mixed vegetable & tofu rice noodle soup,,13.75,14.99,16.50,17.99
,,,,,507,Đậu Hũ Chiên,Deep fried tofu,14.50,,,,
,,,,,508,Cơm Rau Cải Xào Đậu Hũ,Stir fried mixed vegetable with tofu on steamed rice,17.99,,,,
,,,,,509,Mì Xào Giòn Rau Cải Đậu Hũ,Stir fried mixed vegetable & tofu with crispy egg noodle,17.99,,,,
